vi_text,en_text,domain
"cẩu tháp","tower crane","construction"
"giáo tiệp","scaffolding","construction"
"kích thủy lực","hydraulic jack","heavy machinery"
"bản vẽ thi công","construction drawing","engineering"
"đai ốc","nut (fastener)","mechanical"
"bu lông","bolt","mechanical"
"mối hàn","weld joint","metalworking"
"máy nén khí","air compressor","pneumatic"
"van an toàn","safety valve","industrial safety"
"bảng điều khiển","control panel","electrical"
"mạch điện","electrical circuit","electrical"
"công tắc áp lực","pressure switch","instrumentation"
"cảm biến nhiệt độ","temperature sensor","instrumentation"
"bơm nước","water pump","hydraulic"
"ống dẫn dầu","oil pipeline","hydraulic"
"dầu nhớt","lubricating oil","maintenance"
"bộ lọc dầu","oil filter","maintenance"
"cầu dao","circuit breaker","electrical"
"dây curoa","drive belt","mechanical"
"bánh răng","gear","mechanical"
"trục khuỷu","crankshaft","automotive"
"xi lanh","cylinder","hydraulic"
"piston","piston","mechanical"
"vòng bi","bearing","mechanical"
"má phanh","brake pad","automotive"
"lò xo","spring","mechanical"
"đệm cao su","rubber gasket","sealing"
"mặt bích","flange","piping"
"van một chiều","check valve","hydraulic"
"van điện từ","solenoid valve","automation"
"đường ray","rail track","transportation"
"máy hàn","welding machine","metalworking"
"mặt nạ hàn","welding mask","safety"
"thiết bị bảo hộ","personal protective equipment","safety"
"mũ bảo hiểm","hard hat","safety"
"dây an toàn","safety harness","safety"
"biển cảnh báo","warning sign","safety"
"khu vực nguy hiểm","hazard zone","safety"
"sơ đồ điện","electrical diagram","engineering"
"máy phát điện","generator","electrical"
"tải trọng","load capacity","structural"
"ứng suất","stress (mechanical)","structural"
"biến dạng","deformation","structural"
"độ bền","durability / tensile strength","materials"
"kim loại","metal","materials"
"hợp kim","alloy","materials"
"thép không gỉ","stainless steel","materials"
"nhôm","aluminum","materials"
"bê tông","concrete","construction"
"cốt thép","rebar / reinforcing steel","construction"
"móng","foundation","construction"
"dầm","beam","structural"
"cột","column / pillar","structural"
"sàn bê tông","concrete slab","construction"
"tường chắn đất","retaining wall","construction"
"máy xúc","excavator","heavy machinery"
"máy ủi","bulldozer","heavy machinery"
"xe tải","truck","transportation"
"xe nâng","forklift","warehouse"
"băng tải","conveyor belt","manufacturing"
"dây chuyền sản xuất","production line","manufacturing"
"kiểm soát chất lượng","quality control","manufacturing"
"lỗi sản phẩm","product defect","quality"
"bảo trì định kỳ","preventive maintenance","maintenance"
"sự cố","incident / breakdown","safety"
"báo cáo sự cố","incident report","safety"
"dừng khẩn cấp","emergency stop","safety"
"nút khẩn cấp","emergency button","safety"
"tắt máy","shut down","operations"
"khởi động","start up","operations"
"tải về không","no load","operations"
"chạy thử","trial run","operations"
"hiệu chỉnh","calibration","instrumentation"
"đo lường","measurement","instrumentation"
"đồng hồ đo áp suất","pressure gauge","instrumentation"
"lưu lượng kế","flow meter","instrumentation"
"nhiệt kế","thermometer","instrumentation"
"rò rỉ","leakage","maintenance"
"ăn mòn","corrosion","maintenance"
"mài mòn","wear and tear","maintenance"
"thay thế linh kiện","replace component","maintenance"
"phụ tùng thay thế","spare parts","maintenance"
"kho phụ tùng","spare parts warehouse","logistics"
"đơn đặt hàng","purchase order","logistics"
"nhà cung cấp","supplier","procurement"
"hợp đồng","contract","legal"
"tiêu chuẩn kỹ thuật","technical standard","engineering"
"quy trình vận hành","operating procedure","operations"
"nhật ký vận hành","operation log","documentation"
"bàn giao ca","shift handover","operations"
"ca trực","duty shift","operations"
"giám sát","supervisor / monitoring","management"
"kỹ thuật viên","technician","personnel"
"kỹ sư","engineer","personnel"
"thợ hàn","welder","personnel"
"thợ điện","electrician","personnel"
"thợ cơ khí","mechanic","personnel"
"bơm bê tông","concrete pump","construction"
"nhớt thủy lực","hydraulic fluid","heavy machinery"
"xì nhớt","hydraulic fluid leak","maintenance"
"cháy van","valve failure","industrial safety"
"máy xúc số","excavator number","heavy machinery"
"thợ đứng máy","machine operator","personnel"
"thợ lái máy","equipment operator","personnel"
"thợ xây","bricklayer","construction"
"thợ hồ","mason","construction"
"thợ sắt","ironworker","construction"
"thợ ống","pipefitter","construction"
"thợ mộc","carpenter","construction"
"đội trưởng","foreman","management"
"chủ thầu","contractor","management"
"nhà thầu phụ","subcontractor","management"
"an toàn lao động","occupational safety","safety"
"tai nạn lao động","workplace accident","safety"
"sơ cứu","first aid","safety"
"thoát hiểm","emergency exit","safety"
"báo động","alarm","safety"
"phòng cháy","fire prevention","safety"
"bình chữa cháy","fire extinguisher","safety"
"hố thu nước","drainage pit","construction"
"đào móng","foundation excavation","construction"
"đổ bê tông","concrete pouring","construction"
"đầm bê tông","concrete compaction","construction"
"bảo dưỡng bê tông","concrete curing","construction"
"tháo ván khuôn","formwork removal","construction"
"lắp đặt","installation","construction"
"thi công","construction work","construction"
"nghiệm thu","acceptance inspection","quality"
"bàn giao công trình","project handover","management"
"tiến độ thi công","construction schedule","management"
"chậm tiến độ","behind schedule","management"
"đẩy nhanh tiến độ","expedite the schedule","management"
"vật liệu xây dựng","construction materials","logistics"
"cát","sand","materials"
"đá dăm","crushed stone / gravel","materials"
"xi măng","cement","materials"
"gạch","brick","materials"
"ngói","roof tile","materials"
"gỗ","timber","materials"
"sắt thép","steel","materials"
"dây điện","electrical cable","electrical"
"ống nhựa","plastic pipe","piping"
"ống thép","steel pipe","piping"
"van khóa","shut-off valve","piping"
"máy bơm","pump","hydraulic"
"bể chứa nước","water tank","hydraulic"
"hệ thống thoát nước","drainage system","construction"
"hệ thống điện","electrical system","electrical"
"hệ thống cấp nước","water supply system","construction"
"hệ thống phòng cháy chữa cháy","fire suppression system","safety"
"thang máy công trình","construction elevator","heavy machinery"
"cần cẩu","crane","heavy machinery"
"xe ben","dump truck","heavy machinery"
"xe trộn bê tông","concrete mixer truck","heavy machinery"
"xe lu","road roller","heavy machinery"
"máy cắt bê tông","concrete saw","heavy machinery"
"máy khoan","drill","mechanical"
"máy cắt","angle grinder","mechanical"
"búa máy","pneumatic hammer","mechanical"
"đục","chisel","mechanical"
"kìm","pliers","mechanical"
"mỏ lết","wrench","mechanical"
"tô vít","screwdriver","mechanical"
"thước đo","measuring tape","instrumentation"
"máy cân bằng","leveling instrument","instrumentation"
"máy kinh vĩ","theodolite","instrumentation"
"máy thủy bình","level instrument","instrumentation"
"hố khoan","borehole","construction"
"cọc bê tông","concrete pile","construction"
"cọc khoan nhồi","bored pile","construction"
"tường vây","diaphragm wall","construction"
"neo đất","ground anchor","construction"
"gia cố nền đất","ground reinforcement","construction"
"kết cấu thép","steel structure","structural"
"kết cấu bê tông cốt thép","reinforced concrete structure","structural"
"mái che","roof covering","construction"
"lớp chống thấm","waterproofing layer","construction"
"lớp cách nhiệt","thermal insulation layer","construction"
"hoàn thiện","finishing","construction"
"sơn","paint","finishing"
"ốp lát","tiling","finishing"
"trần thạch cao","gypsum ceiling","finishing"
"vách ngăn","partition wall","finishing"
"cửa","door","finishing"
"cửa sổ","window","finishing"
"lan can","railing","finishing"
"cầu thang","staircase","construction"
"thang bộ","stairs","construction"
"tầng hầm","basement","construction"
"mái","roof","construction"
"tầng thượng","rooftop floor","construction"
"hệ thống điều hòa","air conditioning system","mechanical"
"hệ thống thông gió","ventilation system","mechanical"
"đường dây điện","power line","electrical"
"tủ điện","electrical panel","electrical"
"aptomat","circuit breaker","electrical"
"cáp điện ngầm","underground power cable","electrical"
"máy biến áp","transformer","electrical"
"trạm biến áp","electrical substation","electrical"
"đèn công trường","construction site light","electrical"
"hệ thống chiếu sáng","lighting system","electrical"
"bể phốt","septic tank","construction"
"đường ống cấp thoát nước","water supply and drainage pipe","construction"
"hệ thống PCCC","fire protection system","safety"
"khu vực thi công","construction zone","construction"
"rào chắn","barricade","safety"
"biển báo công trường","construction site sign","safety"
"tấm chắn bụi","dust barrier","safety"
"lưới an toàn","safety net","safety"
"dây giới hạn","boundary rope","safety"
"hố ga","manhole","construction"
"hào kỹ thuật","utility trench","construction"
"san lấp mặt bằng","site grading","construction"
"đầm nén đất","soil compaction","construction"
"thử tải","load test","engineering"
"thử áp","pressure test","engineering"
"thử kín","leak test","engineering"
"siết bu lông","bolt tightening","mechanical"
"mô men siết","torque value","mechanical"
"chất bôi trơn","lubricant","maintenance"
"tra dầu mỡ","lubrication","maintenance"
"kiểm tra định kỳ","periodic inspection","maintenance"
"ghi nhận hiện trường","site observation record","documentation"
"phương án thi công","construction method statement","engineering"
"biện pháp an toàn","safety measures","safety"
"vệ sinh công trường","site cleanup","operations"
"thu dọn mặt bằng","site clearance","operations"
"bàn giao mặt bằng","site handover","operations"
"nghỉ ca","shift break","operations"
"tăng ca","overtime shift","operations"
"kíp nổ","detonator","construction"
"thuốc nổ","explosive","construction"
"nổ mìn","blasting","construction"
"khai thác đá","rock quarrying","construction"
"cưa đá","stone cutting","construction"
"xe cẩu","crane truck","heavy machinery"
"máy đóng cọc","pile driver","heavy machinery"
"máy rải nhựa","asphalt paver","heavy machinery"
"xe téc nước","water tanker truck","heavy machinery"
"xe cuốc","backhoe loader","heavy machinery"
"máy san","motor grader","heavy machinery"
"máy đầm rung","vibratory compactor","heavy machinery"
"bơm hút bùn","slurry pump","heavy machinery"
"xe xi téc dầu","fuel tanker truck","heavy machinery"
"cẩu bánh xích","crawler crane","heavy machinery"
"kích nâng","hydraulic lifting jack","heavy machinery"
"tời điện","electric winch","heavy machinery"
"palang điện","electric hoist","heavy machinery"
"giá đỡ","support bracket","structural"
"thanh giằng","bracing rod","structural"
"khung thép","steel frame","structural"
"bản mã","gusset plate","structural"
"hàn đính","tack weld","metalworking"
"hàn ngấu","full penetration weld","metalworking"
"kiểm tra hàn","weld inspection","quality"
"kiểm tra siêu âm","ultrasonic testing","quality"
"xì hơi","air leak","maintenance"
"xì dầu","oil leak","maintenance"
"kẹt máy","machine jammed","maintenance"
"chạy lại","restart","operations"
"tắt khẩn cấp","emergency shutdown","safety"
"quá tải","overloaded","operations"
"thiếu điện","power shortage","electrical"
"mất điện","power outage","electrical"
"chập điện","short circuit","electrical"
"điện giật","electric shock","safety"
"rò điện","electrical leakage","electrical"
"cúp điện","power cut","electrical"
"đấu điện","electrical connection","electrical"
"nối đất","grounding","electrical"
"chống sét","lightning protection","electrical"
"nhiệt độ cao","high temperature","safety"
"cháy nổ","fire and explosion","safety"
"đám cháy","fire outbreak","safety"
"dập lửa","fire suppression","safety"
"hít phải khói","smoke inhalation","safety"
"té ngã","fall injury","safety"
"bị vật rơi","struck by falling object","safety"
"kẹt tay","hand caught in machine","safety"
"đứt tay","hand laceration","safety"
"bỏng","burn injury","safety"
"ngất xỉu","fainting","safety"
"gọi cấp cứu","call emergency services","safety"
"dredge number","excavator number","post-translation-fix"
"that dredge","that excavator","post-translation-fix"
"an safety valve","the safety valve","post-translation-fix"
"a safety valve fire","a safety valve blowout","post-translation-fix"
"That's a safety valve","the safety valve will blow","post-translation-fix"
"safety valve will blow fire","safety valve will blow out","post-translation-fix"
"valve will blow fire","valve will blow out","post-translation-fix"
"will blow fire","will blow out","post-translation-fix"
"blow fire","blow out","post-translation-fix"
"valve fire","valve failure","post-translation-fix"
"leaking oil","hydraulic fluid leak","post-translation-fix"
"machine stuck","machine jammed","post-translation-fix"
"fire valve","valve failure","post-translation-fix"
"run again","restart the machine","post-translation-fix"
"worker standing","machine operator","post-translation-fix"
"Let's go check it out","Please go check it immediately","post-translation-fix"
"let's go check it out","please go check it immediately","post-translation-fix"
"Let's check it out","Please check it immediately","post-translation-fix"
"let's check it out","please check it immediately","post-translation-fix"
"Do n't","Don't","post-translation-fix"
"do n't","Don't","post-translation-fix"
"can 't","can't","post-translation-fix"
"is n't","isn't","post-translation-fix"
"won 't","won't","post-translation-fix"
"doesn 't","doesn't","post-translation-fix"
"wasn 't","wasn't","post-translation-fix"
"haven 't","haven't","post-translation-fix"
"didn 't","didn't","post-translation-fix"
"shouldn 't","shouldn't","post-translation-fix"
"wouldn 't","wouldn't","post-translation-fix"
"couldn 't","couldn't","post-translation-fix"
"kéo cáp","cable pulling","construction"
"đổ bê tông","concrete pouring","construction"
"cắt thép","steel cutting","metalworking"
"buộc thép","rebar tying","construction"
"đóng cốp pha","formwork installation","construction"
"tháo cốp pha","formwork removal","construction"
"cẩu tháp","tower crane","heavy machinery"
"xe lu","road roller","heavy machinery"
"xe cuốc","backhoe","heavy machinery"
"xe ủi","bulldozer","heavy machinery"
"máy trộn bê tông","concrete mixer","heavy machinery"
"đồ bảo hộ","PPE (Personal Protective Equipment)","safety"
"mũ bảo hộ","hard hat","safety"
"giày bảo hộ","safety boots","safety"
"dây đai an toàn","safety harness","safety"
"kính bảo hộ","safety goggles","safety"
"lưới an toàn","safety net","safety"
"hành lang an toàn","safety corridor","safety"
"cáp cẩu","lifting cable","heavy machinery"
"móc cẩu","crane hook","heavy machinery"
"bơm chìm","submersible pump","machinery"
"máy hàn","welding machine","machinery"
"máy cắt sắt","rebar cutter","machinery"
"dàn giáo","scaffolding","construction"
"kẹp giáo","scaffolding clamp","construction"
"ván khuôn","formwork","construction"
"cọc cừ","sheet pile","construction"
"cọc nhồi","bored pile","construction"
"bùn khoan","drilling mud","construction"
"sập giàn giáo","scaffolding collapse","safety"
"trượt chân","slip and fall","safety"
"chập nổ","short-circuit explosion","safety"
"rò rỉ khí gas","gas leak","safety"
"hư motor","motor failure","maintenance"
"hư bạc đạn","bearing failure","maintenance"
"tuột sên","chain slipped","maintenance"
"đứt cáp","cable snapped","safety"
"nổ lốp","tire blowout","maintenance"
"đội trưởng","crew chief","personnel"
"cai thầu","foreman","personnel"
"giám sát viên","supervisor","personnel"
"kỹ sư hiện trường","site engineer","personnel"
"công nhân hàn","welder","personnel"
"công nhân sắt","ironworker","personnel"
"thợ xây","mason","personnel"
"thợ mộc","carpenter","personnel"
"thợ phụ","helper","personnel"
"sổ nhật ký thi công","site diary","documentation"
"biên bản nghiệm thu","acceptance protocol","documentation"
"bản vẽ hoàn công","as-built drawing","documentation"
"lệnh khởi công","notice to proceed","documentation"
"cấp phép thi công","work permit","safety"
"khảo sát địa chất","geological survey","engineering"
"quan trắc lún","settlement monitoring","engineering"
"chống thấm","waterproofing","construction"
"lát gạch","tiling","construction"
"trát tường","plastering","construction"
"bả matit","puttying","construction"
"sơn lót","primer painting","construction"
"sơn phủ","finish painting","construction"
"điện âm tường","concealed wiring","electrical"
"ống luồn dây","conduit","electrical"
"ống nước nóng","hot water pipe","plumbing"
"ống thoát nước","drainage pipe","plumbing"
"hố móng","foundation pit","construction"
"bể phốt","septic tank","construction"
"bê tông cốt thép","reinforced concrete","construction"
"bê tông tươi","ready-mix concrete","construction"
"thép hình","structural steel","construction"
"cốt đai","stirrup","construction"
"con kê bê tông","concrete spacer","construction"
"gạch tuynel","tunnel brick","construction"
"đá mi","crushed stone dust","construction"
"cát vàng","yellow sand","construction"
"cát san lấp","fill sand","construction"
"xi măng","cement","construction"
"vữa xây","mortar","construction"
"sắt phi 10","10mm rebar","construction"
"sắt phi 12","12mm rebar","construction"
"tonnage","tải trọng","engineering"
"yield strength","giới hạn chảy","engineering"
"tensile strength","độ bền kéo","engineering"
"concrete slump","độ sụt bê tông","engineering"
"curing","bảo dưỡng bê tông","construction"
"concrete casting","đổ bê tông","post-translation-fix"
"pour concrete","concrete pouring","post-translation-fix"
"electric sparks","tia lửa điện","post-translation-fix"
"safety net fell","lưới an toàn bị rơi","post-translation-fix"
"wear helmet","đội mũ bảo hộ","post-translation-fix"
"scaffold is shaking","giàn giáo đang rung lắc","post-translation-fix"
"pump failure","bơm hỏng","post-translation-fix"
"crane truck broken","xe cẩu bị hỏng","post-translation-fix"
"khảo sát dự thảo","giám định mớn nước","post-translation-fix"
"khả năng chịu đất","sức chịu tải của đất","post-translation-fix"
"thùng hàng","container","post-translation-fix"
"tường vây","diaphragm wall","construction"
"cọc cừ larsen","sheet pile","construction"
"cọc khoan nhồi","bored pile","construction"
"cọc xi măng đất","deep soil mixing pile","construction"
"dung dịch khoan","bentonite slurry","construction"
"ống vách","casing","construction"
"lưới cốt thép","welded wire mesh","construction"
"neo đất","ground anchor","construction"
"mực nước ngầm","groundwater table","construction"
"hệ giằng chống","bracing system","construction"
"máy đào gầu nghịch","backhoe excavator","equipment"
"máy xúc lật","wheel loader","equipment"
"máy ủi đất","bulldozer","equipment"
"cần cẩu bánh xích","crawler crane","equipment"
"tay cần cẩu tháp","tower crane jib","equipment"
"đối trọng","counterweight","equipment"
"chân chống cẩu","outrigger","equipment"
"tời nâng","lifting winch","equipment"
"máy toàn đạc điện tử","total station","equipment"
"máy thủy bình","auto level","equipment"
"hệ thống HVAC","HVAC system","MEP"
"tháp giải nhiệt","cooling tower","MEP"
"máy lạnh trung tâm","chiller","MEP"
"ống gió","air duct","MEP"
"cửa gió","air grille","MEP"
"máng cáp","cable tray","MEP"
"thang cáp","cable ladder","MEP"
"tủ điện tổng","main distribution board","MEP"
"cáp ngầm","underground cable","MEP"
"trạm biến áp","transformer substation","MEP"
"tủ tụ bù","capacitor bank","MEP"
"hệ thống báo cháy","fire alarm system","MEP"
"đầu báo khói","smoke detector","MEP"
"bơm chữa cháy","fire pump","MEP"
"van góc chữa cháy","fire angle valve","MEP"
"ống cấp nước","water supply pipe","MEP"
"ống thoát nước","drainage pipe","MEP"
"hố ga","manhole","MEP"
"bơm chìm","submersible pump","MEP"
"bản vẽ hoàn công","as-built drawing","management"
"bản vẽ thi công","shop drawing","management"
"tiên lượng dự toán","bill of quantities","management"
"lệnh thay đổi thiết kế","variation order","management"
"nhật ký thi công","site diary","management"
"biên bản nghiệm thu","inspection report","management"
"chủ đầu tư","client","management"
"tư vấn giám sát","supervision consultant","management"
"nhà thầu chính","main contractor","management"
"nhà thầu phụ","subcontractor","management"
"tiến độ thi công","construction schedule","management"
"danh sách lỗi","snag list","management"
"thời gian bảo hành","defect liability period","management"
"nghiệm thu bàn giao","handover","management"
"tạm ứng hợp đồng","advance payment","management"
"hồ sơ thanh toán","payment certificate","management"
"giàn giáo chữ A","A-frame scaffold","construction"
"cốp pha nhôm","aluminum formwork","construction"
"ván khuôn trượt","slipform","construction"
"bảo dưỡng bê tông","concrete curing","construction"
"phụ gia đông kết nhanh","accelerating admixture","construction"
"phụ gia chống thấm","waterproofing admixture","construction"
"màng chống thấm","waterproofing membrane","construction"
"mạch ngừng thi công","construction joint","construction"
"khe co giãn","expansion joint","construction"
"con kê bê tông","concrete spacer","construction"
"súng bắn đinh","nail gun","equipment"
"máy đầm dùi","internal vibrator","equipment"
"máy đầm bàn","plate compactor","equipment"
"dây đai an toàn toàn thân","full-body harness","safety"
"lan can tạm","temporary guardrail","safety"
"lưới bao che","debris netting","safety"
"bình chữa cháy xách tay","portable fire extinguisher","safety"
"biển cảnh báo nguy hiểm","hazard warning sign","safety"
"lối thoát hiểm","emergency exit","safety"
"điểm tập kết","assembly point","safety"
"hộp sơ cứu","first aid kit","safety"
